urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.368	<l xmlns="http://www.tei-c.org/ns/1.0" n="368"> αῦτις ἐφυβρίζων ἕλετο κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.369	<l xmlns="http://www.tei-c.org/ns/1.0" n="369"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> . τῷ πάντ᾽ ἀγορευέμεν ὡς ἐπιτέλλω </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.371	<l xmlns="http://www.tei-c.org/ns/1.0" n="371"> εἴ τινά που <rs n="urn:cite:hmt:pers.pers500" type="ethnic"> Δαναῶν</rs> ἔτι ἔλπεται ἐξαπατήσειν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.377	<l xmlns="http://www.tei-c.org/ns/1.0" n="377"> ἐρρέτω. ἐκ γάρ εὑ̈ φρένας εἵλετο μητίετα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.386	<l xmlns="http://www.tei-c.org/ns/1.0" n="386"> οὐδέ κεν ὡς ἔτι θυμὸν ἐμὸν πείσει᾽ <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.388	<l xmlns="http://www.tei-c.org/ns/1.0" n="388"> κούρην δ᾽ οὐ γαμέω <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνονος Ἀτρείδαο</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.389	<l xmlns="http://www.tei-c.org/ns/1.0" n="389"> οὐδ᾽ εἰ χρυσείῃ <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτῃ</persName> κάλλος ἐρίζοι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.390	<l xmlns="http://www.tei-c.org/ns/1.0" n="390"> ἔργα δ᾽ <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίῃ</persName> γλαυκώπιδι ἰ̈σοφαρίζοι. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.394	<l xmlns="http://www.tei-c.org/ns/1.0" n="394"> <persName n="urn:cite:hmt:pers.pers184"> Πηλεύς</persName> θήν μοι ἔπειτα γυναῖκά γαμέσσεται αὐτός· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.400	<l xmlns="http://www.tei-c.org/ns/1.0" n="400"> κτήμασι τέρπεσθαι. τὰ γέρων ἐκτήσατο <persName n="urn:cite:hmt:pers.pers184"> Πηλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.405	<l xmlns="http://www.tei-c.org/ns/1.0" n="405"> <persName n="urn:cite:hmt:pers.pers40"> Φοίβου Ἀπόλλωνος</persName> · <placeName n="urn:cite:hmt:place.place173"> Πυθοῖ</placeName> ἔνι πετρηέσσῃ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.410	<l xmlns="http://www.tei-c.org/ns/1.0" n="410"> μήτηρ γάρ τέ με φησὶ θεὰ <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> ἀργυρόπεζα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.419	<l xmlns="http://www.tei-c.org/ns/1.0" n="419"> <placeName n="urn:cite:hmt:place.place6"> Ἰ̈λίου</placeName> αἰπεινῆς· μάλα γάρ ἕθεν εὐρύοπα <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.427	<l xmlns="http://www.tei-c.org/ns/1.0" n="427"> <persName n="urn:cite:hmt:pers.pers405"> Φοῖνιξ</persName> δ᾽ αὖθι παρ᾽ άμμι μένων· κατακοιμηθήτω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.432	<l xmlns="http://www.tei-c.org/ns/1.0" n="432"> ὀψὲ δὲ δὴ μετέειπε γέρων ἱ̈ππηλάτα <persName n="urn:cite:hmt:pers.pers405"> Φοῖνιξ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.434	<l xmlns="http://www.tei-c.org/ns/1.0" n="434"> εἰ μὲν δὴ νόστόν γε μετὰ φρεσὶ φαίδιμ᾽ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεῦ</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.438	<l xmlns="http://www.tei-c.org/ns/1.0" n="438"> οἶος· σοὶ δέ μ᾽ ἔπεμπε γέρων ἱ̈ππηλάτα <persName n="urn:cite:hmt:pers.pers184"> Πηλεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.439	<l xmlns="http://www.tei-c.org/ns/1.0" n="439"> ἤματι τῷ· ὅτε σ᾽ ἐκ <placeName n="urn:cite:hmt:place.place34"> Φθίης</placeName> <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνονι</persName> πέμπε. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.448	<l xmlns="http://www.tei-c.org/ns/1.0" n="448"> φεύγων νείκεα πατρὸς <persName n="urn:cite:hmt:pers.pers484"> Ἀμύντορος</persName> <persName n="urn:cite:hmt:pers.pers485"> Ὀρμενίδαο</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.454	<l xmlns="http://www.tei-c.org/ns/1.0" n="454"> πολλὰ κατηρᾶτο· στυγερὰς δ᾽ ἐπεκέκλετ᾽ <persName n="urn:cite:hmt:pers.pers493"> Ἐρινῦς</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.457	<l xmlns="http://www.tei-c.org/ns/1.0" n="457"> <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> τε καταχθόνιος. καὶ ἐπαινὴ <choice> <orig> <persName n="urn:cite:hmt:pers.pers262"> Περσεφόνεια</persName></orig> <reg> <persName n="urn:cite:hmt:pers.pers262"> Φερσεφόνεια</persName></reg></choice> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.468	<l xmlns="http://www.tei-c.org/ns/1.0" n="468"> εὐόμενοι. τανύοντο διὰ φλογὸς <persName n="urn:cite:hmt:pers.pers192"> Ἡφαίστοιο</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.480	<l xmlns="http://www.tei-c.org/ns/1.0" n="480"> ἐς <persName n="urn:cite:hmt:pers.pers184"> Πηλῆα</persName> <choice> <orig> ἄνακτα</orig> <reg> ἄναχθ᾽</reg></choice> · ὁ δέ με πρόφρων ὑπέδεκτο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.485	<l xmlns="http://www.tei-c.org/ns/1.0" n="485"> καί σε τοσοῦτον ἔθηκα θεοῖς ἐπιείκελ᾽ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεῦ</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.494	<l xmlns="http://www.tei-c.org/ns/1.0" n="494"> ἐξ ἐμεῦ. ἀλλὰ σὲ παῖδα θεοῖς ἐπιείκελ᾽ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεῦ </persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.496	<l xmlns="http://www.tei-c.org/ns/1.0" n="496"> ἀλλ᾽ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλεῦ</persName> . δάμασον θυμὸν μέγαν· οὐδέ τι σε χρὴ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.502	<l xmlns="http://www.tei-c.org/ns/1.0" n="502"> καὶ γάρ τε <persName n="urn:cite:hmt:pers.pers305"> λιταί</persName> εἰσι <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> . κοῦραι μεγάλοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.508	<l xmlns="http://www.tei-c.org/ns/1.0" n="508"> ὃς μέν τ᾽ αἰδέσεται κούρας <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> ἆσσον ϊούσας. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.511	<l xmlns="http://www.tei-c.org/ns/1.0" n="511"> λίσσονται δ᾽ ἄρα ταί γε <persName n="urn:cite:hmt:pers.pers8"> Δία Κρονίωνα</persName> κιοῦσαι. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.513	<l xmlns="http://www.tei-c.org/ns/1.0" n="513"> ἀλλ`᾽ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλεῦ</persName> πόρε καὶ σὺ <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> κούρῃσιν ἕπεσθαι </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.516	<l xmlns="http://www.tei-c.org/ns/1.0" n="516"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> ἀλλ᾽ αἰὲν ἐπιζαφελῶς χαλεπαίνοι. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.532	<l xmlns="http://www.tei-c.org/ns/1.0" n="532"> <placeName n="urn:cite:hmt:place.place157"> Κουρῆτες </placeName> δὲ, διαπραθέειν μεμαῶτες <persName n="urn:cite:hmt:pers.pers83"> Ἄρηϊ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.533	<l xmlns="http://www.tei-c.org/ns/1.0" n="533"> καὶ γὰρ τοῖσι κακὸν χρυσόθρονος <persName n="urn:cite:hmt:pers.pers39"> Ἄρτεμις</persName> ὦρσε. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.535	<l xmlns="http://www.tei-c.org/ns/1.0" n="535"> <persName n="urn:cite:hmt:pers.pers327"> Οἰνεὺς</persName> ἐρξ᾽· ἄλλοι δὲ θεοὶ δαίνυνθ᾽ ἑκατόμβας· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.536	<l xmlns="http://www.tei-c.org/ns/1.0" n="536"> οἴῃ δ᾽ οὐκ ἔρρεξε <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> κούρῃ μεγάλοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	<l xmlns="http://www.tei-c.org/ns/1.0" n="540"> ὃς κακὰ πολλ`᾽ έρδεσκεν. ἔθων <persName n="urn:cite:hmt:pers.pers327"> Οἰνῆος</persName> ἀλωήν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.543	<l xmlns="http://www.tei-c.org/ns/1.0" n="543"> τὸν δ᾽ υἱὸς <persName n="urn:cite:hmt:pers.pers327"> Οἰνῆος</persName> ἀπέκτεινεν <persName n="urn:cite:hmt:pers.pers312"> Μελέαγρος</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.550	<l xmlns="http://www.tei-c.org/ns/1.0" n="550"> ὄφρα μὲν οὖν <persName n="urn:cite:hmt:pers.pers312"> Μελέαγρος</persName> ἄρηϊφίλος πολέμιζε. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.553	<l xmlns="http://www.tei-c.org/ns/1.0" n="553"> ἀλλ`᾽ ὅτε δὴ <persName n="urn:cite:hmt:pers.pers312"> Μελέαγρον</persName> ἔδυ χόλος. ὅς τε καὶ ἄλλων </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.555	<l xmlns="http://www.tei-c.org/ns/1.0" n="555"> ἤτοι ὃ μητρὶ φίλῃ <persName n="urn:cite:hmt:pers.pers483"> Ἀλθαίῃ</persName> χωόμενος κῆρ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.556	<l xmlns="http://www.tei-c.org/ns/1.0" n="556"> κεῖτο παρα μνηστῇ ἀλόχῳ καλῇ <persName n="urn:cite:hmt:pers.pers482"> Κλεοπάτρῃ</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.557	<l xmlns="http://www.tei-c.org/ns/1.0" n="557"> κούρῃ <persName n="urn:cite:hmt:pers.pers486"> Μαρπήσσης</persName> καλλισφύρου <persName> Εὐηνί̄νης</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.558	<l xmlns="http://www.tei-c.org/ns/1.0" n="558"> <persName n="urn:cite:hmt:pers.pers488"> Ἴ̈̈̈δεώ</persName> θ᾽. ὃς κάρτιστος ἐπιχθονίων γένετ᾽ ἀνδρῶν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.560	<l xmlns="http://www.tei-c.org/ns/1.0" n="560"> <persName n="urn:cite:hmt:pers.pers40"> Φοίβου Ἀπόλλωνος</persName> · καλλισφύρου εἵνεκα νύμφης· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.562	<l xmlns="http://www.tei-c.org/ns/1.0" n="562"> <persName n="urn:cite:hmt:pers.pers482"> Ἀλκυόνην</persName> καλέεσκον ἐπώνυμον· οὕνεκ᾽ άρ᾽ αὐτῆς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.564	<l xmlns="http://www.tei-c.org/ns/1.0" n="564"> κλαῖ᾽· ὅ τε μιν ἑκάεργος ἀνήρπασε <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπόλλων</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.569	<l xmlns="http://www.tei-c.org/ns/1.0" n="569"> κικλήσκουσ᾽ <persName n="urn:cite:hmt:pers.pers201"> Ἀΐδην</persName> καὶ ἐπαινὴν. <choice> <orig> <persName n="urn:cite:hmt:pers.pers262"> Περσεφόνειαν</persName></orig> <reg> <persName n="urn:cite:hmt:pers.pers62"> Φερσεφόνειαν</persName></reg></choice> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	<l xmlns="http://www.tei-c.org/ns/1.0" n="571"> παιδὶ δόμεν θάνατον· τῆς δ᾽ ἠεροφοῖτις <persName> Ἐρῑνὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.581	<l xmlns="http://www.tei-c.org/ns/1.0" n="581"> πολλὰ δέ μιν. λιτάνευε γέρων ἱ̈ππηλάτα <persName n="urn:cite:hmt:pers.pers327"> Οἰνεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.590	<l xmlns="http://www.tei-c.org/ns/1.0" n="590"> καὶ τότε δὴ <persName n="urn:cite:hmt:pers.pers312"> Μελέαγρον</persName> ἐΰζωνος παράκοιτις </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.606	<l xmlns="http://www.tei-c.org/ns/1.0" n="606"> Τὸν δ᾽ ἀπαμειβόμενος προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.607	<l xmlns="http://www.tei-c.org/ns/1.0" n="607"> <persName n="urn:cite:hmt:pers.pers405"> Φοῖνιξ</persName> . ἄττα· γεραιὲ. διοτρεφὲς· οὔ τι με ταύτης </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.608	<l xmlns="http://www.tei-c.org/ns/1.0" n="608"> χρεὼ τιμῆς· φρονέω δὲ τετιμῆσθαι <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> αἴσῃ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.613	<l xmlns="http://www.tei-c.org/ns/1.0" n="613"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδῃ</persName> ἥρωϊ φέρων χάριν· οὐδέ τί σε χρὴ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.620	<l xmlns="http://www.tei-c.org/ns/1.0" n="620"> Η̃· καὶ <persName n="urn:cite:hmt:pers.pers158"> Πατρόκλῳ</persName> ὅ γ᾽ ἐπ᾽ ὀφρύσι, νεῦσε σιωπῇ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.621	<l xmlns="http://www.tei-c.org/ns/1.0" n="621"> <persName n="urn:cite:hmt:pers.pers405"> Φοίνικι</persName> στορέσαι πυκινὸν λέχος· ὄφρα τάχιστα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.622	<l xmlns="http://www.tei-c.org/ns/1.0" n="622"> ἐκ κλισίης. νόστοιο μεδοίατο: τοῖσι δ᾽ ὰρ᾽ <persName n="urn:cite:hmt:pers.pers127"> Αἴᾱς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.623	<l xmlns="http://www.tei-c.org/ns/1.0" n="623"> ἀντίθεος <persName n="urn:cite:hmt:pers.pers127"> Τελαμωνιάδης</persName> μετα μῦθον ἔειπε· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.624	<l xmlns="http://www.tei-c.org/ns/1.0" n="624"> διογενὲς· <persName n="urn:cite:hmt:pers.pers118"> Λαερτιάδη</persName> · πολυμήχαν᾽ <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεῦ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.627	<l xmlns="http://www.tei-c.org/ns/1.0" n="627"> χρὴ μῦθον <rs n="urn:cite:hmt:pers.pers500" type="ethnic"> Δαναοῖσι</rs> καὶ οὐκ ἀγαθόν περ ἐόντα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.628	<l xmlns="http://www.tei-c.org/ns/1.0" n="628"> οἵ που νῦν έαται ποτιδέγμενοι· αὐτὰρ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.643	<l xmlns="http://www.tei-c.org/ns/1.0" n="643"> Τὸν δ᾽ ἀπαμειβόμενος προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.644	<l xmlns="http://www.tei-c.org/ns/1.0" n="644"> <persName n="urn:cite:hmt:pers.pers127"> Αἶαν</persName> διογενὲς. <persName n="urn:cite:hmt:pers.pers127"> Τελαμώνιε</persName> . κοίρανε λαῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.648	<l xmlns="http://www.tei-c.org/ns/1.0" n="648"> <placeName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</placeName> · ὡς εἴ τιν᾽ ἀτίμητον μετανάστην· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.651	<l xmlns="http://www.tei-c.org/ns/1.0" n="651"> πρίν γ᾽ υἱὸν <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> δαΐφρονος <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορα</persName> δῖον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.655	<l xmlns="http://www.tei-c.org/ns/1.0" n="655"> <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορα</persName> καὶ μεμαῶτα μάχης σχήσεσθαι ὀΐω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.657	<l xmlns="http://www.tei-c.org/ns/1.0" n="657"> σπείσαντες, παρὰ νῆας ί̈σαν πάλιν. ἦρχε δ᾽ <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεύς</persName> , </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.658	<l xmlns="http://www.tei-c.org/ns/1.0" n="658"> <persName n="urn:cite:hmt:pers.pers158"> Πάτροκλος</persName> δ᾽ ἑτάροισιν. ἰ̈δὲ δμῳῇσι κέλευσε· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.659	<l xmlns="http://www.tei-c.org/ns/1.0" n="659"> <persName n="urn:cite:hmt:pers.pers405"> Φοίνῑκι</persName> στορέσαι πυκινὸν λέχος ὅττι τάχιστα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.663	<l xmlns="http://www.tei-c.org/ns/1.0" n="663"> αὐτὰρ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεὺς</persName> εὗδε μυχῷ κλισίης ἐϋπήκτου· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.665	<l xmlns="http://www.tei-c.org/ns/1.0" n="665"> <persName n="urn:cite:hmt:pers.pers501"> Φόρβαντος</persName> θυγάτηρ. <persName n="urn:cite:hmt:pers.pers489"> Διομήδη</persName> καλλιπάρῃος. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.666	<l xmlns="http://www.tei-c.org/ns/1.0" n="666"> <persName n="urn:cite:hmt:pers.pers158"> Πάτροκλος</persName> δ᾽ ἑτέρωθεν ἐλέξατο· παρ δ᾽ άρα καὶ τῷ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.667	<l xmlns="http://www.tei-c.org/ns/1.0" n="667"> <persName n="urn:cite:hmt:pers.pers490"> Ἶ̈φις</persName> ἐΰζωνος. τήν οἱ πόρε δῖος <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.668	<l xmlns="http://www.tei-c.org/ns/1.0" n="668"> <placeName n="urn:cite:hmt:place.place61"> Σκῦρον</placeName> ἑλὼν αἰπεῖαν. <persName n="urn:cite:hmt:pers.pers491"> Ἐνυῆος</persName> πτολίεθρον· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.669	<l xmlns="http://www.tei-c.org/ns/1.0" n="669"> Οἱ δ᾽ ὅτε δὴ κλισίῃσιν ἐν <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδαο</persName> γένοντο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.672	<l xmlns="http://www.tei-c.org/ns/1.0" n="672"> πρῶτος δ᾽ ἐξερέεινεν ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.673	<l xmlns="http://www.tei-c.org/ns/1.0" n="673"> εἰπ`᾽ άγε μ᾽, ὦ πολύαιν᾽ <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσεῦ</persName> . μέγα κῦδος <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</rs> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.676	<l xmlns="http://www.tei-c.org/ns/1.0" n="676"> Τὸν δ᾽ αῦτε προσέειπε πολύτλας. δῖος <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.677	<l xmlns="http://www.tei-c.org/ns/1.0" n="677"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> , κύδιστε· ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγάμεμνον</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.686	<l xmlns="http://www.tei-c.org/ns/1.0" n="686"> <placeName n="urn:cite:hmt:place.place6"> Ἰ̈λίου</placeName> αἰπεινῆς· μάλα γάρ ἑθεν εὐρύοπα <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.689	<l xmlns="http://www.tei-c.org/ns/1.0" n="689"> <persName n="urn:cite:hmt:pers.pers127"> Αἴας</persName> καὶ κήρυκε δύω, πεπνυμένω ἄμφω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.690	<l xmlns="http://www.tei-c.org/ns/1.0" n="690"> <persName n="urn:cite:hmt:pers.pers405"> Φοῖνιξ</persName> δ᾽ αὖθ᾽ ὁ γέρων κατελέξατο. ὡς γὰρ ἀνώγει. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.696	<l xmlns="http://www.tei-c.org/ns/1.0" n="696"> ὀψὲ δὲ δὴ μετέειπε βοὴν ἀγαθὸς <persName n="urn:cite:hmt:pers.pers215"> Διομήδης</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.697	<l xmlns="http://www.tei-c.org/ns/1.0" n="697"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> . κύδιστε. ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγάμεμνον</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.698	<l xmlns="http://www.tei-c.org/ns/1.0" n="698"> μὴ ὄφελες λίσσεσθαι ἀμύμονα <persName n="urn:cite:hmt:pers.pers1"> Πηλείωνα</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.707	<l xmlns="http://www.tei-c.org/ns/1.0" n="707"> αὐτὰρ ἐπεί κε φανῇ καλὴ ῥοδοδάκτυλος <placeName n="urn:cite:hmt:pers.pers286"> Ἠὼς</placeName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:9.711	<l xmlns="http://www.tei-c.org/ns/1.0" n="711"> μῦθον ἀγασσάμενοι <persName n="urn:cite:hmt:pers.pers215"> Διομήδεος</persName> ἱ̈πποδάμοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.3	<l xmlns="http://www.tei-c.org/ns/1.0" n="3"> ἀλλ' οὐκ <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδην Ἀγαμέμνονα</persName> ποιμένα λαῶν</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.5	<l xmlns="http://www.tei-c.org/ns/1.0" n="5"> ὡς δ' ὅτ ἂν ἀστράπτῃ πόσις <persName n="urn:cite:hmt:pers.pers116"> Ἥρης</persName> ἠϋκόμοιο.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.9	<l xmlns="http://www.tei-c.org/ns/1.0" n="9"> ὡς πυκὶν' ἐν στήθεσσιν ἀνεστενάχιζ' <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.16	<l xmlns="http://www.tei-c.org/ns/1.0" n="16"> ὑψόθ' ἐόντι <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> · μέγα δ' ἔστενε κυδάλιμον κῆρ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.18	<l xmlns="http://www.tei-c.org/ns/1.0" n="18"> <persName n="urn:cite:hmt:pers.pers117"> Νέστορ'</persName> ἐπὶ πρῶτον <persName n="urn:cite:hmt:pers.pers204"> Νηλήϊον</persName> ἐλθέμεν ἀνδρῶν.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.20	<l xmlns="http://www.tei-c.org/ns/1.0" n="20"> ἥ τις ἀλεξίκακος πᾶσιν <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοῖσι </rs> γένοιτο·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.25	<l xmlns="http://www.tei-c.org/ns/1.0" n="25"> ὡς δ' αύτως <persName n="urn:cite:hmt:pers.pers119"> Μενέλᾱον</persName> ἔχε τρόμος. οὐδὲ γὰρ αὖτῷ</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.36	<l xmlns="http://www.tei-c.org/ns/1.0" n="36"> τὸν πρότερος προσέειπε βοὴν ἀγαθὸς, <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:10.42	<l xmlns="http://www.tei-c.org/ns/1.0" n="42"> Τὸν δ' ἀπαμειβόμενος προσέφη κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> ·</l>
